"","CDSeq_estimated_cell_type_1","CDSeq_estimated_cell_type_2","CDSeq_estimated_cell_type_3","CDSeq_estimated_cell_type_4","CDSeq_estimated_cell_type_5","CDSeq_estimated_cell_type_6"
"ABCD3",7.031254394534e-07,1.7620567963458e-05,0.000134350344418479,3.8297942050122e-05,0.000148368544803974,2.03896627672116e-07
"ABCD4",7.031254394534e-07,2.50397544743877e-05,1.33777014356949e-06,4.64888313903216e-06,1.55243619376355e-06,9.9909347559337e-06
"ABCE1",1.7578135986335e-05,9.27398313866212e-07,1.47154715792644e-05,7.10614994109201e-05,0.000152804076786155,1.01948313836058e-06
"ABCF1",2.1093763183602e-06,5.25525711190854e-06,3.72664539994358e-05,3.76338158874032e-06,3.96980112405252e-05,4.68962243645867e-06
"ABCF2",2.78906424316515e-05,6.49178819706349e-06,1.91110020509927e-07,1.70459048431179e-05,9.09284056347224e-06,1.65156268414414e-05
"ABCF3",2.41406400879001e-05,1.02013814525283e-05,7.07107075886731e-06,1.1068769378648e-06,4.2137553830725e-06,5.11780535457012e-05
"ABCG1",8.36719272949546e-05,8.25384499340929e-05,9.55550102549637e-07,0.00016979492226846,0.000139053927641393,4.68962243645867e-06
"ABCG2",6.79687924804953e-06,1.7620567963458e-05,2.54176327278203e-05,3.3206308135944e-06,1.55243619376355e-06,2.03896627672116e-07
"ABCG4",4.9218780761738e-06,3.40046048417611e-06,2.1022102256092e-06,1.1068769378648e-06,6.65329797327237e-07,2.42636986929818e-05
"ABCG5",1.64062602539127e-06,1.54566385644369e-06,9.55550102549637e-07,6.64126162718879e-07,3.32664898663619e-06,2.03896627672116e-07
"ABCG8",7.26562954101846e-06,2.78219494159864e-06,1.91110020509927e-07,2.2137538757296e-07,4.2137553830725e-06,2.03896627672116e-07
"ABHD1",2.1093763183602e-06,3.09132771288737e-07,1.33777014356949e-06,1.54962771301072e-06,1.61896917349628e-05,1.42727639370481e-06
"ABHD10",4.5234403271502e-05,5.25525711190854e-06,1.91110020509927e-07,9.09852842924865e-05,8.64928736525408e-06,2.05935593948837e-05
"ABHD11",5.83594114746322e-05,3.09132771288737e-07,2.27420924406814e-05,2.05879110442853e-05,2.32865429064533e-05,7.48300623556667e-05
"ABHD12",5.41406588379118e-05,7.11005373964096e-06,5.255525564023e-05,2.87788003844848e-06,4.90126284031065e-05,2.65065615973751e-06
"ABHD12B",4.9218780761738e-06,2.78219494159864e-06,1.71999018458935e-06,2.2137538757296e-07,4.65730858129066e-06,3.46624267042598e-06
"ABHD13",1.19531324707078e-05,1.20561780802608e-05,9.55550102549637e-07,5.09163391417808e-06,1.1088829955454e-06,2.03896627672116e-07
"ABHD14A",1.42968839355525e-05,1.02013814525283e-05,4.39553047172833e-06,6.64126162718879e-07,2.94962876815075e-05,1.52922470754087e-05
"ABHD14B",2.34375146484467e-07,3.09132771288737e-07,1.91110020509927e-07,1.99237848815664e-06,1.1088829955454e-06,1.4068867309376e-05
"ABHD15",1.17187573242233e-06,2.16392939902116e-06,1.91110020509927e-07,4.64888313903216e-06,3.32664898663619e-06,3.46624267042598e-06
"ABHD16A",4.14844009277506e-05,6.15174214864587e-05,2.86665030764891e-06,2.81146742217659e-05,1.30848193474357e-05,2.79338379910799e-05
"ABHD17A",3.04687690429807e-06,3.09132771288737e-07,2.48443026662906e-06,2.2137538757296e-07,2.43954259019987e-06,1.4068867309376e-05
"ABHD17B",6.21094138183836e-05,4.29694552091345e-05,6.40218568708257e-05,5.99927300322721e-05,2.21776599109079e-07,5.03624670350127e-05
"ABHD17C",2.1093763183602e-06,1.54566385644369e-06,2.00665521535424e-05,9.07639089049135e-06,3.77020218485434e-06,1.83506964904905e-06
"ABHD18",0.000114140696337935,4.01872602675359e-06,2.12132122766019e-05,4.67102067778945e-05,9.11501822338315e-05,1.12143145219664e-05
"ABHD2",0.000143671964794978,0.000167859094809784,0.000219967633606926,0.000289337631557858,0.00014437656602001,0.000307272217901879
"ABHD3",1.80468862793039e-05,7.72831928221844e-06,1.91110020509927e-07,2.2137538757296e-07,1.1310606554563e-05,1.83506964904905e-06
"ABHD4",2.64843915527447e-05,9.27398313866212e-07,4.01331043070848e-06,4.64888313903216e-06,4.2137553830725e-06,2.65065615973751e-06
"ABHD5",4.00781500488438e-05,4.11146585814021e-05,3.99419942865748e-05,9.96189244078319e-06,2.21776599109079e-07,2.91572177571126e-05
"ABHD6",5.32031582519739e-05,7.82105911360506e-05,1.91110020509927e-07,0.000115779327700658,1.75203513296172e-05,6.34118512060282e-05
"ABHD8",2.34375146484467e-07,1.14379125376833e-05,5.54219059478789e-06,5.53438468932399e-06,5.54441497772698e-06,7.13638196852407e-06
"ABI1",0.000371484607177879,7.82105911360506e-05,3.34442535892373e-05,0.000256131323421914,0.000152360523587937,2.18169391609164e-05
"ABI2",0.00014273446420904,0.000527689640589875,0.00036826900952263,0.000945937031099257,0.000470831719908575,0.000267716272133489
"ABI3",5.929691206057e-05,1.7620567963458e-05,5.92441063580775e-06,3.3206308135944e-06,5.98796817594513e-06,1.48844538200645e-05
"ABI3BP",1.64062602539127e-06,5.25525711190854e-06,7.07107075886731e-06,1.99237848815664e-06,2.21776599109079e-07,1.4068867309376e-05
"ABITRAM",3.02343938964962e-05,2.16392939902116e-06,9.55550102549637e-07,2.94429265472037e-05,1.1088829955454e-06,9.9909347559337e-06
"ABL1",6.11719132324458e-05,3.12224099001625e-05,2.08309922355821e-05,1.70459048431179e-05,6.65329797327237e-07,2.03896627672116e-07
"ABL2",9.25781828613643e-05,0.000121489179116474,3.22975934661777e-05,6.70767424346068e-05,0.000120868246514448,3.24195637998665e-05
