"","CDSeq_estimated_cell_type_1","CDSeq_estimated_cell_type_2","CDSeq_estimated_cell_type_3","CDSeq_estimated_cell_type_4","CDSeq_estimated_cell_type_5","CDSeq_estimated_cell_type_6"
"ABHD12",5.05043407382944e-06,8.99706479758044e-07,6.64921733982342e-05,6.87092098298713e-06,3.80434735883722e-05,6.15101871088797e-05
"ABHD12B",2.19584090166497e-07,5.39823887854826e-07,3.61672909697508e-06,1.54003401342815e-05,4.94350221769808e-06,1.96518169676932e-07
"ABHD13",1.53708863116548e-06,1.79941295951609e-07,2.78209930536545e-07,8.29249084153619e-06,1.56902461692157e-05,1.76866352709239e-06
"ABHD14A",7.24627497549442e-06,1.63746579315964e-05,1.41887064573638e-05,4.02778126588901e-06,1.82694647175799e-05,2.16169986644625e-06
"ABHD14B",6.58752270499492e-07,2.33923684737091e-06,1.39104965268272e-06,4.50163788540536e-06,1.07467439515176e-06,9.8259084838466e-07
"ABHD15",5.48960225416244e-06,5.39823887854826e-07,3.61672909697508e-06,2.36928309758177e-07,1.07467439515176e-06,1.76866352709239e-06
"ABHD16A",2.19584090166497e-07,8.99706479758044e-07,5.09124172881876e-05,1.35049136562161e-05,7.28629239912891e-05,7.66420861740035e-06
"ABHD17A",1.97625681149848e-06,2.69911943927413e-06,2.78209930536545e-07,2.13235478782359e-06,1.09616788305479e-05,2.94777254515398e-06
"ABHD17B",1.73471431231533e-05,1.25958907166126e-06,5.42509364546262e-05,1.58741967537978e-05,9.56460211685064e-05,9.02018398817118e-05
"ABHD17C",3.73292953283046e-06,1.25958907166126e-06,3.03248824284834e-05,2.36928309758177e-07,1.07467439515176e-06,7.66420861740035e-06
"ABHD18",6.36793861482843e-06,2.3932192361564e-05,0.000222846154359772,3.29330350563866e-05,4.96499570560112e-05,1.12015356715851e-05
"ABHD2",0.00037175586465188,0.000570593849462551,0.000218394795471187,0.000183619440062587,7.0928510080016e-06,9.2363539748158e-06
"ABHD3",1.03204522378254e-05,1.61947166356448e-06,4.17314895804817e-06,6.87092098298713e-06,6.44804637091054e-07,1.96518169676932e-07
"ABHD4",1.33946295001563e-05,1.79941295951609e-07,2.78209930536545e-07,2.6772899002674e-05,2.14934879030351e-07,1.96518169676932e-07
"ABHD5",5.29197657301259e-05,9.17700609353205e-06,5.53637761767724e-05,2.25081894270268e-05,8.81233004024441e-06,2.33856621915549e-05
"ABHD6",2.04213203854843e-05,5.56018604490471e-05,3.08813022895564e-05,0.000267018205097465,1.74097252014585e-05,3.04603162999245e-05
"ABHD8",5.05043407382944e-06,1.79941295951609e-07,3.61672909697508e-06,3.55392464637265e-06,1.74097252014585e-05,2.16169986644625e-06
"ABI1",3.22788612544751e-05,0.00020351360572127,0.000200032940055776,2.29820460465431e-05,0.000129605732055302,0.00014090352765836
"ABI2",0.000564550695818065,0.00122809934486973,0.000205040718805433,0.000328619565634591,0.000141212215522941,0.000219903831868487
"ABI3",6.58752270499492e-07,8.99706479758044e-07,6.95524826341361e-06,1.8717336470896e-05,3.9762952620615e-05,1.39527900470622e-05
"ABI3BP",8.5637795164934e-06,4.85841499069344e-06,1.41887064573638e-05,2.36928309758177e-07,2.79415342739457e-06,1.96518169676932e-07
"ABITRAM",2.19584090166497e-07,1.60147753396932e-05,2.1978584512387e-05,1.30310570366997e-05,2.79415342739457e-06,1.74901171012469e-05
"ABL1",6.03856247957868e-05,1.96136012587254e-05,3.75583406224335e-05,1.11356305586343e-05,6.23311149188019e-06,5.69902692063103e-06
"ABL2",2.52521703691472e-05,0.000121820257359239,3.31069817338488e-05,0.000168456028238064,1.48305066530942e-05,1.70970807618931e-05
"ABLIM1",2.17388249264832e-05,0.00011858131403211,7.48384713143305e-05,2.36928309758177e-07,0.00022030825100611,0.000144440854712545
"ABLIM2",0.000145145083600055,8.61918807608206e-05,9.43131664518886e-05,7.1078492927453e-07,0.000173022577619433,2.77090619244474e-05
"ABLIM3",1.53708863116548e-06,8.65517633527238e-05,2.75427831231179e-05,3.0800680268563e-06,2.94460784271581e-05,5.89554509030796e-07
"ABO",0.000876360103854491,1.79941295951609e-07,0.000439293480317204,0.000217737116667764,0.000151958959474458,3.16394253179861e-05
"ABR",6.25814656974518e-05,4.37257349162409e-05,4.36789590942375e-05,1.01879173196016e-05,0.000193656326006347,7.64455680043265e-05
"ABRACL",4.17209771316345e-06,7.37759313401596e-06,2.5038893748289e-06,9.71406070008525e-06,1.50454415321246e-06,3.73384522386171e-06
"ABRAXAS1",6.58752270499492e-07,6.92773989413694e-05,0.000121021319783397,1.49264835147651e-05,1.50454415321246e-06,2.25995895128472e-05
