"","CDSeq_estimated_cell_type_1","CDSeq_estimated_cell_type_2","CDSeq_estimated_cell_type_3","CDSeq_estimated_cell_type_4","CDSeq_estimated_cell_type_5","CDSeq_estimated_cell_type_6"
"ABCF3",1.66103543086282e-05,4.84758565214726e-06,3.37451864555076e-05,1.89112717129022e-05,2.42779087803926e-06,1.23033075570125e-05
"ABCG1",0.000183104729260996,6.55205931693452e-05,9.83223058595724e-05,3.93099468189541e-05,3.310623924599e-06,8.79062409508281e-05
"ABCG2",9.77079665213423e-07,1.56373730714428e-07,1.28668696556971e-05,1.9336244110945e-05,1.56702865764352e-05,2.87077176330291e-05
"ABCG4",1.34836993799452e-05,1.56373730714428e-07,2.42771125579191e-07,1.33866305383465e-05,1.21389543901963e-05,1.78308805174094e-07
"ABCG5",2.5404071295549e-06,2.03285849928756e-06,7.28313376737574e-07,6.37458597064121e-07,1.54495783147953e-06,1.24816163621866e-06
"ABCG8",4.49456645998175e-06,7.81868653572139e-07,2.6704823813711e-06,2.76232058727786e-06,6.62124784919799e-07,1.78308805174094e-07
"ABHD1",2.14957526346953e-06,1.09461611500099e-06,1.69939787905434e-06,1.21117133442183e-05,2.42779087803926e-06,1.78308805174094e-07
"ABHD10",3.14619652198722e-05,4.64429980221851e-05,7.55018200551285e-05,3.1872929853206e-06,2.86920740131913e-06,5.17095535004871e-06
"ABHD11",7.6212213886647e-06,1.56373730714428e-07,3.08319329485573e-05,6.99079594780319e-05,8.40898476848145e-05,6.95404340178965e-06
"ABHD12",3.88877706754943e-05,2.23614434921632e-05,7.55018200551285e-05,4.01598916150396e-05,7.28337263411779e-06,5.5275729603969e-06
"ABHD12B",2.5404071295549e-06,2.34560596071642e-06,8.98253164643008e-06,3.1872929853206e-06,2.20708261639933e-07,2.31801446726322e-06
"ABHD13",9.77079665213423e-07,5.47308057500497e-06,2.6704823813711e-06,1.91237579119236e-06,1.47874535298755e-05,1.78308805174094e-07
"ABHD14A",4.98310629258846e-05,4.69121192143283e-07,3.15602463252949e-06,6.37458597064121e-07,2.42779087803926e-06,8.73713145353059e-06
"ABHD14B",9.77079665213423e-07,3.28384834500298e-06,2.42771125579191e-07,6.16209977161983e-06,3.75204044787886e-06,8.91544025870468e-07
"ABHD15",2.93123899564027e-06,1.09461611500099e-06,3.64156688368787e-06,1.06243099510687e-06,4.19345697115873e-06,1.78308805174094e-07
"ABHD16A",4.74860717293724e-05,1.56373730714428e-07,3.56873554601411e-05,2.65607748776717e-05,2.20708261639933e-07,4.1902569215912e-05
"ABHD17A",5.27623019215249e-06,4.69121192143283e-07,5.5837358883214e-06,7.01204456770533e-06,1.54495783147953e-06,1.60477924656684e-06
"ABHD17B",5.49118771849944e-05,4.58175030993273e-05,0.000136680143701085,1.29616581403038e-05,1.54495783147953e-06,4.40422748780011e-05
"ABHD17C",2.09095048355673e-05,1.40736357642985e-06,1.04391583999052e-05,2.12486199021374e-07,2.20708261639933e-07,6.95404340178965e-06
"ABHD18",0.000106892515374349,6.83353203222049e-05,3.1803017450874e-05,1.5936464926603e-05,7.28337263411779e-06,4.1902569215912e-05
"ABHD2",0.000258144447549386,0.000255983797179518,2.35487991811815e-05,0.000185500451745659,0.000282285866637474,0.000261222399580047
"ABHD3",1.34836993799452e-05,1.56373730714428e-07,1.21385562789596e-06,9.98685135400456e-06,1.54495783147953e-06,5.17095535004871e-06
"ABHD4",2.13003367016526e-05,4.22209072928955e-06,2.42771125579191e-07,2.33734818923511e-06,6.62124784919799e-07,9.45036667422696e-06
"ABHD5",5.37393815867383e-05,3.20566147964577e-05,1.1410242902222e-05,5.41839807504503e-05,1.69945361462748e-05,1.24816163621866e-06
"ABHD6",3.10711333537869e-05,4.83194827907582e-05,0.000109004235385057,4.88718257749159e-06,1.10354130819966e-06,0.000135336383127137
"ABHD8",1.95415933042685e-07,2.97110088357413e-06,1.57801231626474e-05,2.12486199021374e-07,7.72478915739766e-06,5.88419057074509e-06
"ABI1",0.000139331560259434,0.000184051881050882,8.61837495806129e-05,4.18597812072106e-05,0.000355561009501932,1.23033075570125e-05
"ABI2",0.00086471550371388,0.000845512761972911,0.000262921129002264,3.61226538336335e-06,0.000358209508641611,0.000234119461193585
"ABI3",5.84293639797627e-05,9.5387975735801e-06,9.46807389758846e-06,6.16209977161983e-06,4.63487349443859e-06,8.91544025870468e-07
"ABI3BP",5.86247799128054e-07,1.56373730714428e-07,2.6704823813711e-06,2.76232058727786e-06,2.18501179023534e-05,6.24080818109328e-06
"ABITRAM",1.36791153129879e-06,3.3620352103602e-05,9.95361614874684e-06,1.80613269168168e-05,5.95912306427819e-06,1.60477924656684e-06
