"","CDSeq_estimated_cell_type_1","CDSeq_estimated_cell_type_2","CDSeq_estimated_cell_type_3","CDSeq_estimated_cell_type_4","CDSeq_estimated_cell_type_5","CDSeq_estimated_cell_type_6"
"ACAA1",4.73089843790808e-05,3.94514269367347e-05,9.37402730349215e-05,9.90513573616128e-05,1.50898098005771e-05,7.48670251736365e-05
"ACAA2",7.31274521947936e-06,8.99803481364934e-05,4.54019153735403e-05,1.19338984773027e-06,7.47708553039834e-05,5.01403012630777e-05
"ACACA",2.53707487206427e-06,4.85855011536141e-06,5.39853620610753e-05,0.000128715619290908,1.81416814456377e-05,1.44239222811593e-05
"ACACB",0.000279824434418853,5.92743114074092e-05,0.00177609582379178,1.85827847718e-05,0.000797047144634979,0.00118711169885415
"ACAD10",1.49239698356722e-07,8.76482440811199e-05,3.59149479820543e-05,2.21629543149908e-06,1.74634877467353e-05,5.56351287987574e-05
"ACAD11",4.10409170480985e-05,4.4698661061325e-06,6.77640527963288e-07,8.60945533005413e-05,1.69548424725586e-07,2.28951147319989e-07
"ACAD8",5.82034823591215e-06,1.94342004614457e-07,2.25880175987763e-07,8.35372893411192e-06,1.52593582253027e-06,2.51846262051988e-06
"ACAD9",4.02947185563149e-06,1.94342004614457e-07,2.48468193586539e-06,2.02876274114147e-05,3.89961376868848e-06,9.38699704011957e-06
"ACADL",7.46198491783608e-07,9.91144223533728e-06,6.55052510364512e-06,1.70484263961468e-07,2.20412952143262e-06,2.28951147319989e-07
"ACADM",6.41730702933903e-06,9.52275822610837e-06,2.25880175987763e-07,1.53435837565321e-06,1.52593582253027e-06,6.86853441959968e-07
"ACADS",1.64163668192394e-06,4.17835309921082e-05,2.86867823504459e-05,2.64250609140275e-05,5.59509801594433e-06,2.63293819417988e-05
"ACADSB",1.4476250740602e-05,1.94342004614457e-07,1.12940087993881e-06,5.11452791884403e-07,8.47742123627929e-07,4.3500717990798e-06
"ACADVL",1.04467788849705e-06,2.52644605998794e-06,2.55244598866172e-05,8.52421319807339e-07,1.81416814456377e-05,2.58714796471588e-05
"ACAN",3.13403366549116e-06,0.000172381358093023,3.09455841103235e-05,1.10814771574954e-05,1.98371656928935e-05,1.35081176918794e-05
"ACAP1",1.04467788849705e-06,0.000109803232607168,2.68797409425438e-05,8.98452071076935e-05,2.18717467896006e-05,1.39660199865194e-05
"ACAP2",7.68584446537117e-05,9.91144223533728e-06,7.92839417717047e-05,0.000136216926905213,0.000148015774785436,6.06720540397972e-05
"ACAP3",8.20818340961969e-06,3.51759028352166e-05,2.48468193586539e-06,1.27863197971101e-05,7.29058226320019e-06,2.72451865310787e-05
